task,scene_file,missing_object,alternatives
I want an apple,substitution/complex_1.txt,apple,banana orange tomato
I want to have an apple,substitution/complex_1.txt,apple,banana orange tomato
I want dine an apple,substitution/complex_1.txt,apple,banana orange tomato
I want an orange,substitution/complex_1.txt,apple,banana orange tomato
Give me a banana,substitution/complex_0.txt,apple,apple orange tomato
Pour me a cup of water,substitution/complex_2.txt,plastic_cup,coffe_cup glass wine_glass
Pour me a cup of water,substitution/complex_3.txt,water,milk
I want a glass of water,substitution/complex_3.txt,water,milk
I want to drink a glass of milk,substitution/complex_4.txt,milk,water
I want to drink a glass of milk,substitution/complex_5.txt,glass,coffe_cup plastic_cup wine_glass
I want to eat a salad with cucumber and salad,substitution/complex_6.txt,cucumber,tomato
I want to eat a salad with tomato and salad,substitution/complex_7.txt,tomato,cucumber
Bring me a kitchen knife for cutting vegetables,substitution/complex_8.txt,kitchen_knife,dinner_knife
Bring me scissors to open the package,substitution/complex_9.txt,scissors,kitchen_knife
Bring me a cloth to clean the table,substitution/complex_10.txt,cloth,sponge towel
Clean the table with the sponge,substitution/complex_11.txt,sponge,cloth mop
Bring me a mop to clean the floor,substitution/complex_12.txt,mop,cloth sponge
Cook the vegetables in the pot,substitution/complex_13.txt,pot,pan
Heat the lasagne in the oven,substitution/complex_14.txt,oven,stove microwave
Bring me a coffee cup to put salt into,substitution/complex_15.txt,coffee_cup,plastic_cup glass wine_glass
Bring me a coffee cup to put salt into,substitution/complex_16.txt,coffee_cup,bowl pot
Move a chair to the table so I can sit on it,substitution/complex_17.txt,chair,stool
I want to water the plant with a watering can,substitution/complex_18.txt,watering_can,glass wine_glass coffe_cup plastic_cup tea_pot
I want breakfast with cornflakes and milk,substitution/complex_19.txt,bowl,pot
Cut the vegetables on the cutting board,substitution/complex_20.txt,cutting_board,tablet
I want to eat salad from the bowl,substitution/complex_21.txt,bowl,pot plate
I want to eat noodles with a fork,substitution/complex_22.txt,fork,spoon
Store all items from the table in a box and put the box in the living room,substitution/complex_23.txt,box,basket
Wipe the broken glass on the floor with the broom,substitution/complex_24.txt,broom,hand_brush
I want to heat the tea in the tea pot,substitution/complex_25.txt,tea_pot,pot
