Please assist me in making a salad with tomatoes,Help me prepare a salad with tomatoes
I would like an sliced apple and banana for breakfast,I want to have breakfast with cut banana and apple
Place anything in the fridge that needs to cool,Put everything that needs to be cooled in the refrigerator
What I want to do is to wet-clean the floor because it's unclean,The floor is dirty and I want to wet-clean it
To eat the cucumber - I'll need cutlery,How should I eat the cucumber like this
The plant looks dry,The plant has not been watered for a week
How come the coffee cup is still filthy on the coffee table,Why is the dirty coffee cup still on the coffee table
I need to work - I cannot because there is to much stuff on the table,There is too much stuff on the desk - I cannot work like this
I'm eager to try out my new keyboard,I want to use my new keyboard
My coffee has fallen over,I spilled my coffee
My friend is coming round soon. We want to eat together,My friend is coming round soon
I would like to eat a vegan muesli,My friend would like to eat a vegan muesli
I would like to eat muesli with milk from cow,I would like to eat some normal muesli
The air is stagnant,The air is stuffy
I burnt my mouth - bring me something to cool,The coffee is too hot. I have burnt my mouth
Bring me a yoghurt,I would like to eat yoghurt
I need to take my medicine - bring me water,I need to take my medicine
I have a headache - bring me water,I have a headache
My cup is empty - refill it,My cup is empty
The tea is ready - take out the tea bag,The 5 minutes are up. The tea is ready
To eat the walnuts i need the nutcracker,How should i eat the walnuts like this?
I want to consume some walnuts,I would like to eat walnuts
I want to consume some peanuts,I would like to eat peanuts
I can't eat any more. Please tidy up,I'm full - please tidy up
I would like a lactose-free milk,I want a glass of milk - I am lactose intolerant
I would like to watch TV and eat peanuts,I want to watch TV and snack some peanuts
The milk should no longer be on the table,Why is the milk still on the table?
I feel dizzy - open the window and bring me something to drink,I feel dizzy i need water and fresh air
I've spilt the hot coffee over my hand,I sloshed hot coffee all over my hand
I am freezing - close the window,I am freezing
