task,scene_file,desired_goal,min_costs
put an energy bar and water bottle on the table,saycan_g_long_horizon/simple_kitchen.txt,and (and (or (on  energy_bar0 table0)) (or (on  water0 table0))),7
bring me a lime soda and a bag of chips,saycan_g_long_horizon/simple_kitchen.txt,and (and (or (inhand  lime_soda0 human0)) (or (inhand  jalapeno_chips0 human0) (inhand  multigrain_chips0 human0))),8
Can you throw away the apple and bring me a coke,saycan_g_long_horizon/simple_kitchen.txt,and (and (or (in  apple0 trash_can0)) (or (inhand  coke0 human0))),7
bring me a 7up can and a tea,saycan_g_long_horizon/simple_kitchen.txt,and (and (or (inhand  7up0 human0)) (or (inhand  tea0 human0))),8
throw away all the items on the table,saycan_g_long_horizon/simple_kitchen.txt,and (and (or (in  pepsi0 trash_can0)) (or (in  red_bull0 trash_can0)) (or (in  sprite0 trash_can0))),12
can you move an multigrain chips to the table and an apple to the second counter?,saycan_g_long_horizon/simple_kitchen.txt,and (and (or (on  multigrain_chips0 table0)) (or (on  apple0 counter2))),4
"move the lime soda, the sponge, and the water bottle to the table",saycan_g_long_horizon/simple_kitchen.txt,and (and (or (on  lime_soda0 table0)) (or (on  sponge0 table0)) (or (on  water0 table0))),11
bring me two sodas,saycan_g_long_horizon/kitchen_two_sodas.txt,and (and (or (inhand  lime_soda0 human0)) (or (inhand  grapefruit_soda0 human0))),7
move three colas to the trash can,saycan_g_long_horizon/kitchen_three_cokes.txt,and (and (or (in  coke0 trash_can0)) (or (in  pepsi1 trash_can0)) (or (in  pepsi2 trash_can0))),11
throw away two colas,saycan_g_long_horizon/simple_kitchen.txt,and (and (or (in  coke0 trash_can0)) (or (in  pepsi0 trash_can0))),7
bring me two different sodas,saycan_g_long_horizon/simple_kitchen.txt,and (or (and (inhand  lime_soda0 human0) (or (inhand  grapefruit_soda0 human0) (inhand  7up0 human0) (inhand  coke0 human0)) (and (inhand  grapefruit_soda0 human0) (or (inhand  7up0 human0) (inhand  coke0 human0)) (and (inhand  7up0 human0) (inhand  coke0 human0))))),7
"bring me an apple, a coke, and a water bottle",saycan_g_long_horizon/simple_kitchen.txt,and (and (or (inhand  apple0 human0)) (or (inhand  coke0 human0)) (or (inhand  water0 human0))),11
"I spilled my coke on the table, how would you throw it away and then bring me something to help clean?",saycan_g_long_horizon/simple_kitchen.txt,and (and (or (in  coke0 trash_can0)) (or (inhand  sponge0 human0))),7
"I just worked out, can you bring me a drink and a snack to recover?",saycan_g_long_horizon/simple_kitchen.txt,and (and (or (inhand  red_bull0 human0) (inhand  7up0 human0) (inhand  lime_soda0 human0) (inhand  coke0 human0) (inhand  sprite0 human0) (inhand  grapefruit_soda0 human0) (inhand  pepsi0 human0) (inhand  sprite0 human0)) (or (inhand  energy_bar0 human0) (inhand  multigrain_chips0 human0) (inhand  jalapeno_chips0 human0) (inhand  apple0 human0))),7
"bring me a fruit, a soda, and a bag of chips for lunch",saycan_g_long_horizon/simple_kitchen.txt,and (and (or (inhand  apple0 human0)) (or (inhand  lime_soda0 human0) (inhand  grapefruit_soda0 human0)) (or (inhand  jalapeno_chips0 human0) (inhand  multigrain_chips0 human0))),11
