object,affordances
Fork,grasp
Fork,wrap-grasp
Bread Knife,grasp
Bread Knife,cut
Bread Knife,wrap-grasp
Spoon,grasp
Spoon,scoop
Spoon,wrap-grasp
Spatula,grasp
Spatula,scoop
Spatula,wrap-grasp
Kitchen Knife,grasp
Kitchen Knife,cut
Kitchen Knife,cut
Kitchen Knife,scoop
Kitchen Knife,wrap-grasp
Scissors,grasp
Scissors,cut
Scissors,wrap-grasp
Bottle Opener,grasp
Bottle Opener,wrap-grasp
Bowl,grasp
Bowl,scoop
Bowl,contain
Bowl,support
Bowl,wrap-grasp
Plate,grasp
Plate,scoop
Plate,contain
Plate,support
Plate,wrap-grasp
Coffee Cup,grasp
Coffee Cup,scoop
Coffee Cup,wrap-grasp
Glass,grasp
Glass,scoop
Glass,wrap-grasp
Wine Glass,grasp
Wine Glass,scoop
Wine Glass,wrap-grasp
Plastic Cup,grasp
Plastic Cup,scoop
Plastic Cup,wrap-grasp
Can,grasp
Can,scoop
Can,contain
Can,wrap-grasp
Bottle,grasp
Bottle,scoop
Bottle,contain
Bottle,wrap-grasp
Bucket,grasp
Bucket,scoop
Bucket,contain
Bucket,support
Bucket,wrap-grasp
Basket,grasp
Basket,scoop
Basket,contain
Basket,support
Basket,wrap-grasp
Apple,grasp
Apple,scoop
Apple,wrap-grasp
Banana,grasp
Banana,scoop
Banana,wrap-grasp
Salad,grasp
Salad,scoop
Orange,grasp
Orange,scoop
Orange,wrap-grasp
Tomato,grasp
Tomato,scoop
Tomato,wrap-grasp
Cucumber,grasp
Cucumber,scoop
Cucumber,wrap-grasp
Milk Cartoon,grasp
Milk Cartoon,scoop
Milk Cartoon,contain
Milk Cartoon,wrap-grasp
Cornflakes,grasp
Cornflakes,scoop
Cornflakes,contain
Cornflakes,wrap-grasp
Tape,grasp
Tape,wrap-grasp
Hammer,grasp
Hammer,pound
Hammer,wrap-grasp
Screw,grasp
Screw,wrap-grasp
Nail,grasp
Nail,wrap-grasp
Stapler,grasp
Stapler,wrap-grasp
Book,grasp
Book,support
Book,wrap-grasp
Remote,grasp
Remote,wrap-grasp
Chair,grasp
Chair,support
Desk,grasp
Desk,support
Monitor,grasp
Monitor,support
PC,grasp
PC,support
Keyboard,grasp
Screwdriver,grasp
Screwdriver,cut
Screwdriver,wrap-grasp
Sponge,grasp
Sponge,wrap-grasp
Cloth,grasp
Cloth,wrap-grasp
Broom,grasp
Broom,wrap-grasp
Hand Brush,grasp
Hand Brush,wrap-grasp
Towel,grasp
Towel,wrap-grasp
Paper Towel,grasp
Paper Towel,grasp
Paper Towel,cut
Paper Towel,cut
Paper Towel,wrap-grasp
Paper Towel,wrap-grasp
Pan,grasp
Pan,cut
Pan,scoop
Pan,contain
Pan,support
Pan,wrap-grasp
Pot,grasp
Pot,cut
Pot,scoop
Pot,contain
Pot,support
Pot,wrap-grasp
Box,grasp
Box,scoop
Box,contain
Box,support
Box,wrap-grasp
Door,grasp
Door,support
Window,grasp
Window,support
Bench,grasp
Bench,scoop
Bench,support
Couch,grasp
Couch,scoop
Couch,support
Stool,grasp
Stool,scoop
Stool,support
Refrigerator,grasp
Refrigerator,scoop
Refrigerator,contain
Refrigerator,support
Tablet,grasp
Tablet,scoop
Tablet,contain
Tablet,support
Tablet,wrap-grasp
Mop,grasp
Mop,scoop
Mop,wrap-grasp
Tissue,grasp
Tissue,wrap-grasp
Tea Pot,grasp
Tea Pot,scoop
Tea Pot,contain
Tea Pot,wrap-grasp
Vase,grasp
Vase,scoop
Vase,contain
Vase,support
Vase,wrap-grasp
Cutting Board,scoop
Cutting Board,support
Sink,scoop
Sink,contain
Sink,support
Dishwasher,scoop
Dishwasher,contain
Dishwasher,support
Microwave,scoop
Microwave,contain
Microwave,support
Oven,scoop
Oven,contain
Oven,support
Stove,scoop
Stove,contain
Stove,support
Watering Can,scoop
Watering Can,support
Table,support
Coffee Table,support
Counter,support
Plant,support
