object,affordances
Table,grasp
Table,support
Table,wrap-grasp
Coffee Table,grasp
Coffee Table,support
Coffee Table,wrap-grasp
Counter,grasp
Fork,grasp
Fork,scoop
Fork,wrap-grasp
Bread Knife,grasp
Bread Knife,cut
Spoon,grasp
Spoon,scoop
Spoon,contain
Spoon,wrap-grasp
Spatula,grasp
Spatula,scoop
Spatula,wrap-grasp
Kitchen Knife,grasp
Kitchen Knife,cut
Kitchen Knife,wrap-grasp
Scissors,grasp
Scissors,cut
Scissors,wrap-grasp
Bottle Opener,grasp
Bottle Opener,wrap-grasp
Bowl,grasp
Bowl,scoop
Bowl,contain
Bowl,wrap-grasp
Plate,grasp
Plate,scoop
Plate,contain
Plate,support
Cutting Board,grasp
Cutting Board,wrap-grasp
Coffee Cup,grasp
Coffee Cup,scoop
Coffee Cup,contain
Coffee Cup,wrap-grasp
Glass,grasp
Glass,scoop
Glass,contain
Wine Glass,grasp
Wine Glass,contain
Wine Glass,wrap-grasp
Plastic Cup,grasp
Plastic Cup,scoop
Plastic Cup,contain
Plastic Cup,wrap-grasp
Can,grasp
Can,scoop
Can,contain
Can,support
Can,wrap-grasp
Bottle,grasp
Bottle,scoop
Bottle,contain
Bottle,wrap-grasp
Bucket,grasp
Bucket,scoop
Bucket,contain
Bucket,wrap-grasp
Basket,grasp
Basket,scoop
Basket,contain
Basket,wrap-grasp
Sink,grasp
Sink,contain
Dishwasher,grasp
Dishwasher,contain
Dishwasher,wrap-grasp
Microwave,grasp
Microwave,contain
Oven,contain
Stove,contain
Stove,wrap-grasp
Plant,grasp
Watering Can,grasp
Watering Can,wrap-grasp
Apple,grasp
Banana,grasp
Banana,wrap-grasp
Salad,grasp
Salad,wrap-grasp
Orange,grasp
Orange,wrap-grasp
Tomato,grasp
Tomato,wrap-grasp
Cucumber,grasp
Cucumber,scoop
Cucumber,wrap-grasp
Milk Cartoon,grasp
Cornflakes,grasp
Tape,grasp
Hammer,grasp
Hammer,wrap-grasp
Screw,grasp
Screw,wrap-grasp
Nail,grasp
Stapler,grasp
Stapler,wrap-grasp
Book,grasp
Book,wrap-grasp
Remote,grasp
Chair,grasp
Chair,wrap-grasp
Desk,support
Desk,wrap-grasp
Monitor,grasp
Screwdriver,grasp
Screwdriver,wrap-grasp
Sponge,grasp
Sponge,wrap-grasp
Cloth,grasp
Cloth,scoop
Cloth,wrap-grasp
Broom,grasp
Broom,wrap-grasp
Hand Brush,grasp
Hand Brush,wrap-grasp
Towel,grasp
Towel,wrap-grasp
Paper Towel,grasp
Paper Towel,wrap-grasp
Paper Towel,grasp
Paper Towel,wrap-grasp
Pan,grasp
Pan,scoop
Pan,contain
Pan,support
Pot,grasp
Pot,scoop
Pot,contain
Box,grasp
Box,contain
Box,support
Box,wrap-grasp
Door,grasp
Door,wrap-grasp
Window,grasp
Bench,support
Bench,wrap-grasp
Couch,wrap-grasp
Stool,grasp
Stool,scoop
Stool,wrap-grasp
Refrigerator,contain
Tablet,grasp
Mop,grasp
Mop,wrap-grasp
Tissue,grasp
Tissue,wrap-grasp
Tea Pot,grasp
Tea Pot,contain
Tea Pot,wrap-grasp
Vase,grasp
Vase,contain
