task,scene_file,desired_goal,min_costs
pick up the apple and move it to the trash,saycan_d_structured_language/simple_kitchen.txt,and (and (or (in  apple0 trash_can0))),3
pick up the sponge and bring it to me,saycan_d_structured_language/simple_kitchen.txt,and (and (or (inhand  sponge0 human0))),3
pick up the coke can and bring it to me,saycan_d_structured_language/simple_kitchen.txt,and (and (or (inhand  coke0 human0))),3
pick up the apple and bring it to me,saycan_d_structured_language/simple_kitchen.txt,and (and (or (inhand  apple0 human0))),3
pick up the 7up and bring it to me,saycan_d_structured_language/simple_kitchen.txt,and (and (or (inhand  7up0 human0))),4
pick up the redbull and move it to the first counter,saycan_d_structured_language/simple_kitchen.txt,and (and (or (on  red_bull0 counter1))),4
pick up the jalapeno chips and move it to the trash,saycan_d_structured_language/simple_kitchen.txt,and (and (or (in  jalapeno_chips0 trash_can0))),4
pick up the rice chips and move it to the second counter,saycan_d_structured_language/simple_kitchen.txt,and (and (or (on  rice_chips0 counter2))),4
pick up the coke can and move it to the trash,saycan_d_structured_language/simple_kitchen.txt,and (and (or (in  coke0 trash_can0))),3
pick up the water bottle and move it to the trash,saycan_d_structured_language/simple_kitchen.txt,and (and (or (in  water0 trash_can0))),4
pick up the grapefruit soda and bring it to me,saycan_d_structured_language/simple_kitchen.txt,and (and (or (inhand  grapefruit_soda0 human0))),3
pick up the apple and move it to the second counter,saycan_d_structured_language/simple_kitchen.txt,and (and (or (on  apple0 counter2))),3
pick up the 7up and move it to the trash,saycan_d_structured_language/simple_kitchen.txt,and (and (or (in  7up0 trash_can0))),4
pick up the jalapeno chips and move it to the trash,saycan_d_structured_language/simple_kitchen.txt,and (and (or (in  jalapeno_chips0 trash_can0))),4
pick up the apple and move it to the trash,saycan_d_structured_language/simple_kitchen.txt,and (and (or (in  apple0 trash_can0))),3
