object,affordances
Table,support
Table,grasp
Table,wrap-grasp
Coffee Table,support
Coffee Table,grasp
Coffee Table,wrap-grasp
Counter,support
Counter,grasp
Counter,wrap-grasp
Fork,grasp
Fork,scoop
Fork,cut
Fork,wrap-grasp
Bread Knife,grasp
Bread Knife,cut
Bread Knife,wrap-grasp
Spoon,grasp
Spoon,scoop
Spoon,contain
Spoon,wrap-grasp
Spatula,grasp
Spatula,scoop
Spatula,support
Spatula,wrap-grasp
Kitchen Knife,grasp
Kitchen Knife,cut
Kitchen Knife,wrap-grasp
Scissors,grasp
Scissors,cut
Scissors,wrap-grasp
Bottle Opener,grasp
Bottle Opener,wrap-grasp
Bowl,grasp
Bowl,scoop
Bowl,contain
Bowl,support
Bowl,wrap-grasp
Plate,support
Plate,contain
Plate,grasp
Plate,wrap-grasp
Cutting Board,support
Cutting Board,grasp
Cutting Board,wrap-grasp
Coffee Cup,grasp
Coffee Cup,contain
Coffee Cup,support
Coffee Cup,wrap-grasp
Glass,grasp
Glass,contain
Glass,support
Glass,wrap-grasp
Wine Glass,grasp
Wine Glass,contain
Wine Glass,support
Wine Glass,wrap-grasp
Plastic Cup,grasp
Plastic Cup,contain
Plastic Cup,wrap-grasp
Can,grasp
Can,contain
Can,wrap-grasp
Bottle,grasp
Bottle,contain
Bottle,wrap-grasp
Bucket,grasp
Bucket,contain
Bucket,scoop
Bucket,support
Basket,grasp
Basket,contain
Basket,support
Basket,wrap-grasp
Sink,contain
Sink,support
Dishwasher,contain
Dishwasher,support
Microwave,support
Microwave,contain
Microwave,grasp
Microwave,wrap-grasp
Oven,contain
Oven,support
Stove,support
Stove,contain
Plant,support
Plant,contain
Plant,grasp
Plant,wrap-grasp
Watering Can,grasp
Watering Can,contain
Watering Can,support
Apple,grasp
Apple,wrap-grasp
Banana,grasp
Banana,wrap-grasp
Banana,contain
Salad,contain
Salad,support
Orange,grasp
Orange,contain
Orange,wrap-grasp
Tomato,grasp
Tomato,wrap-grasp
Cucumber,grasp
Cucumber,cut
Cucumber,wrap-grasp
Milk Cartoon,grasp
Milk Cartoon,contain
Milk Cartoon,support
Milk Cartoon,wrap-grasp
Cornflakes,contain
Cornflakes,scoop
Tape,wrap-grasp
Tape,contain
Tape,support
Hammer,grasp
Hammer,pound
Hammer,wrap-grasp
Screw,grasp
Screw,wrap-grasp
Nail,grasp
Nail,pound
Stapler,grasp
Stapler,support
Stapler,wrap-grasp
Book,grasp
Book,support
Book,wrap-grasp
Remote,grasp
Remote,wrap-grasp
Remote,support
Chair,support
Chair,grasp
Chair,wrap-grasp
Desk,support
Desk,grasp
Desk,wrap-grasp
Monitor,support
Monitor,grasp
Monitor,wrap-grasp
PC,support
PC,grasp
PC,wrap-grasp
Keyboard,grasp
Keyboard,support
Keyboard,wrap-grasp
Screwdriver,grasp
Screwdriver,cut
Screwdriver,pound
Screwdriver,wrap-grasp
Sponge,grasp
Sponge,scoop
Sponge,contain
Sponge,wrap-grasp
Cloth,wrap-grasp
Cloth,support
Broom,grasp
Broom,scoop
Broom,support
Broom,wrap-grasp
Hand Brush,grasp
Hand Brush,scoop
Towel,grasp
Towel,wrap-grasp
Towel,support
Paper Towel,grasp
Paper Towel,wrap-grasp
Paper Towel,support
Paper Towel,grasp
Paper Towel,wrap-grasp
Paper Towel,support
Pan,grasp
Pan,contain
Pan,support
Pot,grasp
Pot,contain
Pot,support
Box,contain
Box,support
Box,grasp
Box,wrap-grasp
Door,support
Door,grasp
Door,wrap-grasp
Window,support
Bench,support
Bench,grasp
Bench,wrap-grasp
Couch,support
Couch,grasp
Couch,wrap-grasp
Stool,support
Stool,grasp
Stool,wrap-grasp
Refrigerator,support
Refrigerator,contain
Refrigerator,grasp
Refrigerator,wrap-grasp
Tablet,grasp
Tablet,support
Tablet,wrap-grasp
Mop,grasp
Mop,scoop
Mop,pound
Mop,wrap-grasp
Tissue,grasp
Tissue,wrap-grasp
Tissue,contain
Tea Pot,grasp
Tea Pot,contain
Vase,contain
Vase,support
Vase,grasp
Vase,wrap-grasp
