task,scene_file,desired_goal,min_costs
Help me prepare a salad with tomatoes,simple_kitchen.txt,and (chopped tomato0) (chopped salad0) (in salad0 bowl0) (in tomato0 bowl0)
I want to have breakfast with cut banana and apple,simple_kitchen.txt,and (in apple0 bowl0) (in banana0 bowl0) (chopped apple0) (chopped banana0)
Put everything that needs to be cooled in the refrigerator,complex_kitchen4.txt,and (in milk_cartoon0 refrigerator0) (in cucumber0 refrigerator0) (in salad0 refrigerator0)
The floor is dirty and I want to wet-clean it,clean_floor.txt,and (inhand mop0 human0) (liquid_in water0 bucket0)
How should I eat the cucumber like this,steak.txt,and (chopped  cucumber0) (or (inhand fork0 human0) (on fork0 table0)) (or (inhand dinner_knife0 human0) (on dinner_knife0 table0))
The plant has not been watered for a week,watering.txt,and (liquid_in water0 vase0)
Why is the dirty coffee cup still on the coffee table,coffee_cup.txt,and (in coffee_cup1 dishwasher0)
There is too much stuff on the desk - I cannot work like this,desk_cleaning.txt,and (on monitor0 desk0) (on keyboard0 desk0) (not (on plate0 desk0)) (not (on cloth0 desk0)) (not (on bowl0 desk0))(not (on bottle0 desk0))
I want to use my new keyboard,keyboard.txt,and (on keyboard0 desk0) (at  human0 desk0)
I spilled my coffee,simple_kitchen_spilled.txt,or (inhand tissue0 human0) (inhand cloth0 human0) (inhand  sponge0 human0) (inhand  tissue0 robot0) (inhand  cloth0 robot0) (inhand  sponge0 robot0)
My friend is coming round soon. He'll be hungry,dining_room_prep.txt,and (on plate0 table0) (on plate1 table0) (on fork0 table0) (on fork1 table0) (on dinner_knife0 table0) (on dinner_knife0 table0)
My friend would like to eat a vegan muesli,simple_kitchen_vegan_muesli.txt,and (in cornflakes0 bowl0) (liquid_in oat_milk0 bowl0) (inhand spoon0 human0)
I would like to eat some normal muesli,simple_kitchen_vegan_muesli.txt,and (in cornflakes0 bowl0) (liquid_in milk0 bowl0) (inhand spoon0 human0)
The air is stuffy,simple_kitchen.txt,and (opened door0) (opened window0)
The coffee is too hot. I have burnt my mouth,simple_kitchen_coffee_hot.txt,and (inhand plastic_cup0 human0) (liquid_in water1 plastic_cup0)
I would like to eat yoghurt,simple_kitchen_yoghurt.txt,and (inhand yoghurt0 human0) (inhand spoon0 human0)
I need to take my medicine,simple_kitchen_coffee_hot.txt,and (inhand plastic_cup0 human0) (liquid_in water0 plastic_cup0)
I have a headache,simple_kitchen_coffee_hot.txt,and (inhand plastic_cup0 human0) (liquid_in water0 plastic_cup0)
My cup is empty,simple_kitchen_empty_cup.txt,and (liquid_in water0 plastic_cup0)
The 5 minutes are up. The tea is ready,simple_kitchen_tea_bag.txt,not (in tea_bag0 tea_pot0)
How should i eat the walnuts like this?,simple_kitchen_nutcracker.txt,and (inhand nutcracker0 human0) (on bowl3 table0)
I would like to eat walnuts,simple_kitchen_nuts.txt,and (in walnuts0 bowl0) (on bowl0 table0) (inhand nutcracker0 human0) (on bowl3 table0)
I would like to eat peanuts,simple_kitchen_nuts.txt,and (in peanuts0 bowl1) (on bowl1 table0) (on bowl3 table0)
I'm full - please tidy up,eating_fridge.txt,and (in plate0 dishwasher0) (in coffee_cup0 dishwasher0) (in bottle0 dishwasher0) (in salad0 refrigerator0) (in milk_cartoon0 refrigerator0) (in cucumber0 refrigerator0) (closed dishwasher0)
I want a glass of milk - I am lactose intolerant,simple_kitchen_vegan_coffee.txt,and (in oat_milk_cartoon0 refrigerator0) (liquid_in oat_milk0 coffee_cup0) (inhand coffee_cup0 human0) (closed oat_milk_cartoon0)
I want to watch TV and snack some peanuts,complex_kitchen_TV_snack.txt,and (inhand remote0 human0) (on bowl0 table0) (on bowl2 table0) (in peanuts0 bowl0)
Why is the milk still on the table?,simple_kitchen.txt,and (closed milk_cartoon0) (in milk_cartoon0 refrigerator0)
I feel dizzy i need water and fresh air,simple_kitchen_dizzy.txt,and (opened window0) (inhand plastic_cup0 human0) (liquid_in water0 plastic_cup0)
Why are the vegan milk and the normal milk still on the table?,simple_kitchen_vegan_coffee.txt,and (closed oat_milk_cartoon0) (in oat_milk_cartoon0 refrigerator0) (closed milk_cartoon0) (in milk_cartoon0 refrigerator0)
I sloshed hot coffee all over my hand,simple_kitchen_spilled2.txt,and (inhand sponge0 robot0) (wet sponge0) (inhand cool_pack0 human0)
