task,scene_file,desired_goal,min_costs
Please assist me in making a salad with tomatoes,simple_kitchen.txt,and (chopped tomato0) (chopped salad0) (in salad0 bowl0) (in tomato0 bowl0)
I would like an sliced apple and banana for breakfast,simple_kitchen.txt,and (in apple0 bowl0) (in banana0 bowl0) (chopped apple0) (chopped banana0)
Place anything in the fridge that needs to cool,complex_kitchen4.txt,and (in milk_cartoon0 refrigerator0) (in cucumber0 refrigerator0) (in salad0 refrigerator0)
What I want to do is to wet-clean the floor because it's unclean,clean_floor.txt,and (inhand mop0 human0) (liquid_in water0 bucket0)
To eat the cucumber - I'll need cutlery,steak.txt,and (chopped  cucumber0) (or (inhand fork0 human0) (on fork0 table0)) (or (inhand dinner_knife0 human0) (on dinner_knife0 table0))
The plant looks dry,watering.txt,and (liquid_in water0 vase0)
How come the coffee cup is still filthy on the coffee table,coffee_cup.txt,and (in coffee_cup1 dishwasher0)
I need to work - I cannot because there is to much stuff on the table,desk_cleaning.txt,and (on monitor0 desk0) (on keyboard0 desk0) (not (on plate0 desk0)) (not (on cloth0 desk0)) (not (on bowl0 desk0))(not (on bottle0 desk0))
I'm eager to try out my new keyboard,keyboard.txt,and (on keyboard0 desk0) (at  human0 desk0)
My coffee has fallen over,simple_kitchen_spilled.txt, or (inhand tissue0 human0) (inhand cloth0 human0) (inhand sponge0 robot0)
My friend is coming round soon. We want to eat together,dining_room_prep.txt,and (on plate0 table0) (on plate1 table0) (on fork0 table0) (on fork1 table0) (on dinner_knife0 table0) (on dinner_knife0 table0)
I would like to eat a vegan muesli,simple_kitchen_vegan_muesli.txt,and (in cornflakes0 bowl0) (liquid_in oat_milk0 bowl0) (inhand spoon0 human0)
I would like to eat muesli with milk from cow,simple_kitchen_vegan_muesli.txt,and (in cornflakes0 bowl0) (liquid_in milk0 bowl0) (inhand spoon0 human0)
The air is stagnant,simple_kitchen.txt,and (opened door0) (opened window0)
I burnt my mouth - bring me something to cool,simple_kitchen_coffee_hot.txt,and (inhand plastic_cup0 human0) (liquid_in water1 plastic_cup0)
Bring me a yoghurt,simple_kitchen_yoghurt.txt,and (inhand yoghurt0 human0) (inhand spoon0 human0)
I need to take my medicine - bring me water,simple_kitchen_coffee_hot.txt,and (inhand plastic_cup0 human0) (liquid_in water0 plastic_cup0)
I have a headache - bring me water,simple_kitchen_coffee_hot.txt,and (inhand plastic_cup0 human0) (liquid_in water0 plastic_cup0)
My cup is empty - refill it,simple_kitchen_empty_cup.txt,and (liquid_in water0 plastic_cup0)
The tea is ready - take out the tea bag,simple_kitchen_tea_bag.txt,not (in tea_bag0 tea_pot0)
To eat the walnuts i need the nutcracker,simple_kitchen_nutcracker.txt,and (inhand nutcracker0 human0) (on bowl3 table0)
I want to consume some walnuts,simple_kitchen_nuts.txt,and (in walnuts0 bowl0) (on bowl0 table0) (inhand nutcracker0 human0) (on bowl3 table0)
I want to consume some peanuts,simple_kitchen_nuts.txt,and (in peanuts0 bowl1) (on bowl1 table0) (on bowl3 table0)
I can't eat any more. Please tidy up,eating_fridge.txt,and (in plate0 dishwasher0) (in coffee_cup0 dishwasher0) (in bottle0 dishwasher0) (in salad0 refrigerator0) (in milk_cartoon0 refrigerator0) (in cucumber0 refrigerator0) (closed dishwasher0)
I would like a lactose-free milk,simple_kitchen_vegan_coffee.txt,and (in oat_milk_cartoon0 refrigerator0) (liquid_in oat_milk0 coffee_cup0) (inhand coffee_cup0 human0) (closed oat_milk_cartoon0)
I would like to watch TV and eat peanuts,complex_kitchen_TV_snack.txt,and (inhand remote0 human0) (on bowl0 table0) (on bowl2 table0) (in peanuts0 bowl0)
The milk should no longer be on the table,simple_kitchen.txt,and (closed milk_cartoon0) (in milk_cartoon0 refrigerator0)
I feel dizzy - open the window and bring me something to drink,simple_kitchen_dizzy.txt,and (opened window0) (inhand plastic_cup0 human0) (liquid_in water0 plastic_cup0)
I've spilt the hot coffee over my hand,simple_kitchen_spilled.txt,and (inhand sponge0 robot0) (wet sponge0) (inhand cool_pack0 human0)
I am freezing - close the window,simple_kitchen_open_window.txt,and (closed window0)
