object,affordances
Table,support
Coffee Table,support
Counter,support
Fork,grasp
Fork,scoop
Fork,wrap-grasp
Bread Knife,grasp
Bread Knife,cut
Bread Knife,wrap-grasp
Spoon,grasp
Spoon,scoop
Spoon,contain
Spoon,wrap-grasp
Spatula,grasp
Spatula,scoop
Spatula,wrap-grasp
Kitchen Knife,grasp
Kitchen Knife,cut
Kitchen Knife,scoop
Kitchen Knife,wrap-grasp
Scissors,grasp
Scissors,cut
Scissors,wrap-grasp
Bottle Opener,grasp
Bottle Opener,wrap-grasp
Bowl,grasp
Bowl,scoop
Bowl,contain
Bowl,wrap-grasp
Plate,grasp
Plate,contain
Plate,support
Plate,wrap-grasp
Cutting Board,grasp
Cutting Board,scoop
Cutting Board,support
Cutting Board,wrap-grasp
Coffee Cup,grasp
Coffee Cup,scoop
Coffee Cup,contain
Coffee Cup,wrap-grasp
Glass,grasp
Glass,scoop
Glass,contain
Glass,support
Glass,wrap-grasp
Wine Glass,grasp
Wine Glass,scoop
Wine Glass,contain
Wine Glass,wrap-grasp
Plastic Cup,grasp
Plastic Cup,scoop
Plastic Cup,contain
Plastic Cup,wrap-grasp
Can,grasp
Can,scoop
Can,contain
Can,support
Can,wrap-grasp
Bottle,grasp
Bottle,scoop
Bottle,contain
Bottle,wrap-grasp
Bucket,grasp
Bucket,scoop
Bucket,contain
Bucket,wrap-grasp
Basket,grasp
Basket,scoop
Basket,contain
Basket,wrap-grasp
Sink,contain
Sink,support
Dishwasher,contain
Dishwasher,support
Microwave,contain
Microwave,support
Oven,contain
Oven,support
Stove,support
Plant,grasp
Plant,wrap-grasp
Watering Can,grasp
Watering Can,scoop
Watering Can,contain
Watering Can,wrap-grasp
Apple,grasp
Apple,wrap-grasp
Banana,grasp
Banana,scoop
Banana,wrap-grasp
Salad,contain
Orange,grasp
Orange,wrap-grasp
Tomato,grasp
Tomato,wrap-grasp
Cucumber,grasp
Cucumber,wrap-grasp
Milk Cartoon,grasp
Milk Cartoon,scoop
Milk Cartoon,contain
Milk Cartoon,wrap-grasp
Cornflakes,grasp
Cornflakes,contain
Tape,grasp
Tape,wrap-grasp
Hammer,grasp
Hammer,pound
Hammer,wrap-grasp
Screw,grasp
Screw,wrap-grasp
Nail,grasp
Nail,wrap-grasp
Stapler,grasp
Stapler,wrap-grasp
Book,grasp
Book,support
Book,wrap-grasp
Remote,grasp
Remote,wrap-grasp
Chair,grasp
Chair,support
Chair,wrap-grasp
Desk,support
Keyboard,wrap-grasp
Screwdriver,grasp
Screwdriver,scoop
Screwdriver,wrap-grasp
Sponge,grasp
Sponge,wrap-grasp
Cloth,grasp
Cloth,scoop
Cloth,wrap-grasp
Broom,grasp
Broom,wrap-grasp
Hand Brush,grasp
Hand Brush,wrap-grasp
Towel,grasp
Towel,scoop
Towel,wrap-grasp
Paper Towel,grasp
Paper Towel,scoop
Paper Towel,wrap-grasp
Paper Towel,grasp
Paper Towel,scoop
Paper Towel,wrap-grasp
Pan,grasp
Pan,scoop
Pan,contain
Pan,support
Pan,wrap-grasp
Pot,grasp
Pot,scoop
Pot,contain
Pot,support
Pot,wrap-grasp
Box,grasp
Box,contain
Box,support
Box,wrap-grasp
Door,grasp
Door,wrap-grasp
Bench,support
Bench,wrap-grasp
Stool,grasp
Stool,support
Stool,wrap-grasp
Refrigerator,contain
Refrigerator,support
Tablet,grasp
Tablet,wrap-grasp
Mop,grasp
Mop,wrap-grasp
Tissue,grasp
Tissue,scoop
Tissue,wrap-grasp
Tea Pot,grasp
Tea Pot,scoop
Tea Pot,contain
Tea Pot,wrap-grasp
Vase,grasp
Vase,scoop
Vase,contain
Vase,wrap-grasp
