task,scene_file,desired_goal,min_costs
Help me prepare a salad with tomatoes,simple_kitchen.txt,and (chopped tomato0) (chopped salad0) (in salad0 bowl0) (in tomato0 bowl0)
How should I eat the cucumber like this,steak.txt,and (chopped  cucumber0) (or (inhand fork0 human0) (on fork0 table0)) (or (inhand dinner_knife0 human0) (on dinner_knife0 table0))
Why is the dirty coffee cup still on the coffee table,coffee_cup.txt,and (in coffee_cup1 dishwasher0)
I want to use my new keyboard,keyboard.txt,and (on keyboard0 desk0) (at  human0 desk0)
I spilled my coffee,simple_kitchen_spilled.txt,or (inhand tissue0 human0) (inhand cloth0 human0) (inhand  sponge0 human0) (inhand  tissue0 robot0) (inhand  cloth0 robot0) (inhand  sponge0 robot0)
My friend would like to eat a vegan muesli,simple_kitchen_vegan_muesli.txt,and (in cornflakes0 bowl0) (liquid_in oat_milk0 bowl0) (inhand spoon0 human0)
I would like to eat some normal muesli,simple_kitchen_vegan_muesli.txt,and (in cornflakes0 bowl0) (liquid_in milk0 bowl0) (inhand spoon0 human0)
The air is stuffy,simple_kitchen.txt,and (opened door0) (opened window0)
The coffee is too hot. I have burnt my mouth,simple_kitchen_coffee_hot.txt,and (inhand plastic_cup0 human0) (liquid_in water1 plastic_cup0)
How should i eat the walnuts like this?,simple_kitchen_nutcracker.txt,and (inhand nutcracker0 human0) (on bowl3 table0)
I would like to eat walnuts,simple_kitchen_nuts.txt,and (in walnuts0 bowl0) (on bowl0 table0) (inhand nutcracker0 human0) (on bowl3 table0)
I would like to eat peanuts,simple_kitchen_nuts.txt,and (in peanuts0 bowl1) (on bowl1 table0) (on bowl3 table0)
I want a glass of milk - I am lactose intolerant,simple_kitchen_vegan_coffee.txt,and (in oat_milk_cartoon0 refrigerator0) (liquid_in oat_milk0 coffee_cup0) (inhand coffee_cup0 human0) (closed oat_milk_cartoon0)
I want to watch TV and snack some peanuts,complex_kitchen_TV_snack.txt,and (inhand remote0 human0) (on bowl0 table0) (on bowl2 table0) (in peanuts0 bowl0)
Why is the milk still on the table?,simple_kitchen.txt,and (closed milk_cartoon0) (in milk_cartoon0 refrigerator0)
Why are the vegan milk and the normal milk still on the table?,simple_kitchen_vegan_coffee.txt,and (closed oat_milk_cartoon0) (in oat_milk_cartoon0 refrigerator0) (closed milk_cartoon0) (in milk_cartoon0 refrigerator0)
I sloshed hot coffee all over my hand,simple_kitchen_spilled.txt,and (inhand sponge0 robot0) (wet sponge0) (inhand cool_pack0 human0)
