task,scene_file,missing_object,alternatives
I want an apple,substitution/simple_1.txt,apple,banana orange tomato
I want to have an apple,substitution/simple_1.txt,apple,banana orange tomato
I want dine an apple,substitution/simple_1.txt,apple,banana orange tomato
I want an orange,substitution/simple_1.txt,apple,banana orange tomato
Give me a banana,substitution/simple_0.txt,banana,apple orange tomato
Pour me a cup of water,substitution/simple_2.txt,plastic_cup,glass wine_glass
Pour me a cup of water,substitution/simple_3.txt,water,milk
I want a glass of water,substitution/simple_3.txt,water,milk
I want to drink a glass of milk,substitution/simple_4.txt,milk,water
I want to drink a glass of milk,substitution/simple_5.txt,glass,coffee_cup plastic_cup wine_glass
I want to eat a salad with cucumber and salad,substitution/simple_6.txt,cucumber,tomato
I want to eat a salad with tomato and salad,substitution/simple_7.txt,tomato,cucumber
Bring me a kitchen knife for cutting vegetables,substitution/simple_8.txt,kitchen_knife,dinner_knife
Bring me scissors to open the package,substitution/simple_9.txt,scissors,kitchen_knife
Bring me a cloth to clean the table,substitution/simple_10.txt,cloth,sponge
Clean the table with the sponge,substitution/simple_11.txt,sponge,cloth
Bring me a mop to clean the floor,substitution/simple_12.txt,mop,cloth sponge
Cook the vegetables in the pot,substitution/simple_13.txt,pot,pan
Heat the lasagne in the oven,substitution/simple_14.txt,oven,stove microwave
Bring me a coffee cup to put salt into,substitution/simple_15.txt,coffee_cup,plastic_cup glass wine_glass pot
Bring me a coffee cup to put salt into,substitution/simple_16.txt,coffee_cup,bowl pot
Move a chair to the table so I can sit on it,substitution/simple_17.txt,chair,stool
I want to water the plant with a watering can,substitution/simple_18.txt,watering_can,glass wine_glass coffe_cup plastic_cup
I want breakfast with cornflakes and milk,substitution/simple_19.txt,bowl,pot
Cut the vegetables on the cutting board,substitution/simple_20.txt,cutting_board,tablet
I want to eat salad from the bowl,substitution/simple_21.txt,bowl,pot plate
I want to eat noodles with a fork,substitution/simple_22.txt,fork,spoon
Store all items from the table in a box and put the box in the living room,substitution/simple_23.txt,box,basket bucket
Wipe the broken glass on the floor with the broom,substitution/simple_24.txt,broom,hand_brush
I want to heat the tea in the tea pot,substitution/simple_25.txt,tea_pot,pot
